ERROR   2018-07-27 13:06:30,321 [main] com.eidiko.process.tests.BPDProcessTests  :: User Name : wasadministrator
INFO    2018-07-27 13:06:34,419 [main] com.eidiko.process.tests.BPDProcessTests  :: Database Initialization : getInsertionMode
INFO    2018-07-27 13:06:37,924 [main] com.eidiko.process.tests.BPDProcessTests  :: Database Initialization
INFO    2018-07-27 13:06:37,997 [main] com.eidiko.process.tests.BPDProcessTests  :: Database Initialization : getDeleteMode
INFO    2018-07-27 13:06:38,167 [main] com.eidiko.process.tests.BPDProcessTests  :: Database Initialization
INFO    2018-07-27 13:06:38,167 [main] com.eidiko.tests.core.DBUnitTestCase  :: SEED FILES 1
INFO    2018-07-27 13:06:38,167 [main] com.eidiko.process.tests.BPDProcessTests  :: Database Initialization : getDBAaccess
INFO    2018-07-27 13:06:38,305 [main] com.eidiko.tests.core.DBUnitTestCase  :: Connection DOne org.dbunit.database.DatabaseConnection[schema=SYSTEM, connection=oracle.jdbc.driver.T4CConnection@3b0090a4, super=_databaseConfig=org.dbunit.database.DatabaseConfig[, _propertyMap={http://www.dbunit.org/features/qualifiedTableNames=false, http://www.dbunit.org/properties/tableType=[Ljava.lang.String;@2f0a87b3, http://www.dbunit.org/properties/fetchSize=100, http://www.dbunit.org/properties/batchSize=100, http://www.dbunit.org/properties/statementFactory=org.dbunit.database.statement.PreparedStatementFactory@319b92f3, http://www.dbunit.org/properties/resultSetTableFactory=org.dbunit.database.CachedResultSetTableFactory@fcd6521, http://www.dbunit.org/features/batchedStatements=false, http://www.dbunit.org/features/datatypeWarning=true, http://www.dbunit.org/properties/escapePattern=null, http://www.dbunit.org/features/caseSensitiveTableNames=false, http://www.dbunit.org/properties/datatypeFactory=org.dbunit.dataset.datatype.DefaultDataTypeFactory[_toleratedDeltaMap=org.dbunit.dataset.datatype.ToleratedDeltaMap@27d415d9], http://www.dbunit.org/properties/metadataHandler=org.dbunit.database.DefaultMetadataHandler@3cd3e762}], _dataSet=null]
INFO    2018-07-27 13:06:38,420 [main] com.eidiko.process.tests.BPDProcessTests  :: Database Initialization : getInsertionMode
INFO    2018-07-27 13:06:38,751 [main] com.eidiko.process.tests.BPDProcessTests  :: Gonna Start Process App
INFO    2018-07-27 13:06:38,909 [main] com.eidiko.process.tests.BPDProcessTests  :: Database Initialization
INFO    2018-07-27 13:06:38,975 [main] com.eidiko.process.tests.BPDProcessTests  :: Database Initialization : getDeleteMode
INFO    2018-07-27 13:06:39,083 [main] com.eidiko.process.tests.BPDProcessTests  :: Database Initialization
INFO    2018-07-27 13:06:39,083 [main] com.eidiko.tests.core.DBUnitTestCase  :: SEED FILES 1
INFO    2018-07-27 13:06:39,083 [main] com.eidiko.process.tests.BPDProcessTests  :: Database Initialization : getDBAaccess
INFO    2018-07-27 13:06:39,145 [main] com.eidiko.tests.core.DBUnitTestCase  :: Connection DOne org.dbunit.database.DatabaseConnection[schema=SYSTEM, connection=oracle.jdbc.driver.T4CConnection@1190200a, super=_databaseConfig=org.dbunit.database.DatabaseConfig[, _propertyMap={http://www.dbunit.org/features/qualifiedTableNames=false, http://www.dbunit.org/properties/tableType=[Ljava.lang.String;@2f0a87b3, http://www.dbunit.org/properties/fetchSize=100, http://www.dbunit.org/properties/batchSize=100, http://www.dbunit.org/properties/statementFactory=org.dbunit.database.statement.PreparedStatementFactory@319b92f3, http://www.dbunit.org/properties/resultSetTableFactory=org.dbunit.database.CachedResultSetTableFactory@fcd6521, http://www.dbunit.org/features/batchedStatements=false, http://www.dbunit.org/features/datatypeWarning=true, http://www.dbunit.org/properties/escapePattern=null, http://www.dbunit.org/features/caseSensitiveTableNames=false, http://www.dbunit.org/properties/datatypeFactory=org.dbunit.dataset.datatype.DefaultDataTypeFactory[_toleratedDeltaMap=org.dbunit.dataset.datatype.ToleratedDeltaMap@27d415d9], http://www.dbunit.org/properties/metadataHandler=org.dbunit.database.DefaultMetadataHandler@6a2f6f80}], _dataSet=null]
INFO    2018-07-27 13:06:39,474 [main] com.eidiko.process.tests.BPDProcessTests  :: Database Initialization : getInsertionMode
INFO    2018-07-27 13:06:39,758 [main] com.eidiko.process.tests.BPDProcessTests  :: Database Initialization
INFO    2018-07-27 13:06:39,858 [main] com.eidiko.process.tests.BPDProcessTests  :: Database Initialization : getDeleteMode
